  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.6256, 'grad_norm': 3.1118915238580556, 'learning_rate': 5.7798165137614684e-06, 'epoch': 0.04}
{'loss': 1.6703, 'grad_norm': 2.8689540801938667, 'learning_rate': 5.871559633027524e-06, 'epoch': 0.04}
{'loss': 1.703, 'grad_norm': 3.1199790040002866, 'learning_rate': 5.963302752293578e-06, 'epoch': 0.04}
{'loss': 1.6468, 'grad_norm': 3.35472102502534, 'learning_rate': 6.0550458715596335e-06, 'epoch': 0.04}
{'loss': 1.6803, 'grad_norm': 3.07695343820428, 'learning_rate': 6.146788990825688e-06, 'epoch': 0.04}
{'loss': 1.6675, 'grad_norm': 3.361134442492236, 'learning_rate': 6.238532110091744e-06, 'epoch': 0.04}
{'loss': 1.6325, 'grad_norm': 3.169568191705507, 'learning_rate': 6.330275229357799e-06, 'epoch': 0.04}
{'loss': 1.5711, 'grad_norm': 3.0377779798085593, 'learning_rate': 6.422018348623854e-06, 'epoch': 0.04}
{'loss': 1.566, 'grad_norm': 3.2046671663113626, 'learning_rate': 6.513761467889908e-06, 'epoch': 0.04}
{'loss': 1.6119, 'grad_norm': 3.2964204218589623, 'learning_rate': 6.6055045871559645e-06, 'epoch': 0.04}
{'loss': 1.6184, 'grad_norm': 3.287533566974228, 'learning_rate': 6.697247706422019e-06, 'epoch': 0.04}
{'loss': 1.6087, 'grad_norm': 3.0629448896012224, 'learning_rate': 6.788990825688074e-06, 'epoch': 0.04}
{'loss': 1.6487, 'grad_norm': 3.135533823042557, 'learning_rate': 6.880733944954129e-06, 'epoch': 0.04}
{'loss': 1.5275, 'grad_norm': 3.1487911339555694, 'learning_rate': 6.972477064220184e-06, 'epoch': 0.04}
{'loss': 1.5617, 'grad_norm': 2.816610847732581, 'learning_rate': 7.0642201834862385e-06, 'epoch': 0.04}
{'loss': 1.5827, 'grad_norm': 2.9576383482823725, 'learning_rate': 7.155963302752295e-06, 'epoch': 0.04}
{'loss': 1.5961, 'grad_norm': 3.518108952247504, 'learning_rate': 7.247706422018349e-06, 'epoch': 0.04}
{'loss': 1.52, 'grad_norm': 2.93197643221431, 'learning_rate': 7.3394495412844045e-06, 'epoch': 0.04}
{'loss': 1.5115, 'grad_norm': 3.2669874579772205, 'learning_rate': 7.431192660550459e-06, 'epoch': 0.05}
{'loss': 1.5938, 'grad_norm': 3.0343681346988984, 'learning_rate': 7.522935779816515e-06, 'epoch': 0.05}
{'loss': 1.629, 'grad_norm': 3.578235189463453, 'learning_rate': 7.6146788990825695e-06, 'epoch': 0.05}
