  0%|          | 0/1801 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.3966, 'grad_norm': 3.399100941593959, 'learning_rate': 9.990088398637168e-06, 'epoch': 0.05}
{'loss': 1.488, 'grad_norm': 3.055796939890143, 'learning_rate': 9.98951413118856e-06, 'epoch': 0.05}
{'loss': 1.514, 'grad_norm': 2.8868891612867897, 'learning_rate': 9.988923710136903e-06, 'epoch': 0.05}
{'loss': 1.3969, 'grad_norm': 3.195356504371537, 'learning_rate': 9.988317137393698e-06, 'epoch': 0.05}
{'loss': 1.4915, 'grad_norm': 3.146731098671243, 'learning_rate': 9.987694414922724e-06, 'epoch': 0.05}
{'loss': 1.4775, 'grad_norm': 3.1397887651440546, 'learning_rate': 9.987055544740056e-06, 'epoch': 0.05}
{'loss': 1.4661, 'grad_norm': 3.260694664335663, 'learning_rate': 9.98640052891404e-06, 'epoch': 0.05}
{'loss': 1.4517, 'grad_norm': 2.8651465882233094, 'learning_rate': 9.985729369565299e-06, 'epoch': 0.05}
{'loss': 1.4798, 'grad_norm': 2.868098068552271, 'learning_rate': 9.985042068866714e-06, 'epoch': 0.05}
{'loss': 1.4367, 'grad_norm': 3.600262787702148, 'learning_rate': 9.984338629043434e-06, 'epoch': 0.06}
{'loss': 1.4237, 'grad_norm': 3.0012956557881973, 'learning_rate': 9.983619052372847e-06, 'epoch': 0.06}
{'loss': 1.4174, 'grad_norm': 2.9362394481110217, 'learning_rate': 9.982883341184594e-06, 'epoch': 0.06}
{'loss': 1.384, 'grad_norm': 3.241081308100289, 'learning_rate': 9.982131497860544e-06, 'epoch': 0.06}
{'loss': 1.4779, 'grad_norm': 3.514552315412182, 'learning_rate': 9.9813635248348e-06, 'epoch': 0.06}
{'loss': 1.477, 'grad_norm': 2.8544895743115535, 'learning_rate': 9.98057942459368e-06, 'epoch': 0.06}
{'loss': 1.4106, 'grad_norm': 3.005927433325648, 'learning_rate': 9.979779199675722e-06, 'epoch': 0.06}
{'loss': 1.4389, 'grad_norm': 3.1334787275212843, 'learning_rate': 9.978962852671656e-06, 'epoch': 0.06}
{'loss': 1.4577, 'grad_norm': 3.4248014966264178, 'learning_rate': 9.978130386224417e-06, 'epoch': 0.06}
{'loss': 1.3146, 'grad_norm': 2.909914199887082, 'learning_rate': 9.977281803029123e-06, 'epoch': 0.06}
{'loss': 1.4014, 'grad_norm': 3.5237390565274516, 'learning_rate': 9.97641710583307e-06, 'epoch': 0.06}
{'loss': 1.382, 'grad_norm': 2.96800929326059, 'learning_rate': 9.975536297435726e-06, 'epoch': 0.06}
{'loss': 1.5068, 'grad_norm': 3.548350312286142, 'learning_rate': 9.974639380688715e-06, 'epoch': 0.06}
{'loss': 1.3902, 'grad_norm': 3.100179439112285, 'learning_rate': 9.973726358495816e-06, 'epoch': 0.06}
{'loss': 1.3985, 'grad_norm': 2.8292833016910577, 'learning_rate': 9.972797233812948e-06, 'epoch': 0.06}
{'loss': 1.4475, 'grad_norm': 2.9842416384739527, 'learning_rate': 9.971852009648158e-06, 'epoch': 0.06}
{'loss': 1.2982, 'grad_norm': 3.356841252962646, 'learning_rate': 9.970890689061622e-06, 'epoch': 0.06}
{'loss': 1.3689, 'grad_norm': 2.78454357659892, 'learning_rate': 9.969913275165625e-06, 'epoch': 0.06}
{'loss': 1.3587, 'grad_norm': 3.0647640302794557, 'learning_rate': 9.968919771124554e-06, 'epoch': 0.07}
{'loss': 1.4326, 'grad_norm': 2.986829879314769, 'learning_rate': 9.96791018015489e-06, 'epoch': 0.07}
{'loss': 1.4206, 'grad_norm': 2.8596014377804204, 'learning_rate': 9.966884505525191e-06, 'epoch': 0.07}
{'loss': 1.4263, 'grad_norm': 3.1396392747616355, 'learning_rate': 9.965842750556091e-06, 'epoch': 0.07}
{'loss': 1.3583, 'grad_norm': 2.7733402949067907, 'learning_rate': 9.964784918620284e-06, 'epoch': 0.07}
{'loss': 1.376, 'grad_norm': 3.064534246294095, 'learning_rate': 9.963711013142508e-06, 'epoch': 0.07}
{'loss': 1.4314, 'grad_norm': 3.1474175672947178, 'learning_rate': 9.962621037599544e-06, 'epoch': 0.07}
{'loss': 1.4159, 'grad_norm': 3.121630480864612, 'learning_rate': 9.961514995520202e-06, 'epoch': 0.07}
{'loss': 1.3764, 'grad_norm': 3.0819099515106796, 'learning_rate': 9.960392890485302e-06, 'epoch': 0.07}
{'loss': 1.3689, 'grad_norm': 2.754552838636002, 'learning_rate': 9.95925472612767e-06, 'epoch': 0.07}
{'loss': 1.4102, 'grad_norm': 3.070300346274983, 'learning_rate': 9.958100506132127e-06, 'epoch': 0.07}
{'loss': 1.3524, 'grad_norm': 2.8727961592576654, 'learning_rate': 9.956930234235469e-06, 'epoch': 0.07}
{'loss': 1.35, 'grad_norm': 3.063360715204197, 'learning_rate': 9.955743914226466e-06, 'epoch': 0.07}
{'loss': 1.3848, 'grad_norm': 3.1945793738964636, 'learning_rate': 9.954541549945841e-06, 'epoch': 0.07}
{'loss': 1.3575, 'grad_norm': 2.958916013821883, 'learning_rate': 9.953323145286257e-06, 'epoch': 0.07}
{'loss': 1.3623, 'grad_norm': 2.6688140551550403, 'learning_rate': 9.952088704192318e-06, 'epoch': 0.07}
{'loss': 1.3267, 'grad_norm': 3.149414330539185, 'learning_rate': 9.950838230660535e-06, 'epoch': 0.07}
{'loss': 1.3691, 'grad_norm': 3.0392843176640727, 'learning_rate': 9.949571728739329e-06, 'epoch': 0.07}
{'loss': 1.3478, 'grad_norm': 2.9349409082840174, 'learning_rate': 9.948289202529014e-06, 'epoch': 0.08}
{'loss': 1.4056, 'grad_norm': 3.2390261927574366, 'learning_rate': 9.946990656181782e-06, 'epoch': 0.08}
{'loss': 1.4318, 'grad_norm': 2.9169483440528237, 'learning_rate': 9.945676093901688e-06, 'epoch': 0.08}
{'loss': 1.42, 'grad_norm': 2.9005609385105338, 'learning_rate': 9.944345519944644e-06, 'epoch': 0.08}
{'loss': 1.4062, 'grad_norm': 3.176177983076837, 'learning_rate': 9.942998938618394e-06, 'epoch': 0.08}
{'loss': 1.4187, 'grad_norm': 2.861054481309513, 'learning_rate': 9.941636354282511e-06, 'epoch': 0.08}
{'loss': 1.3626, 'grad_norm': 2.620061973484078, 'learning_rate': 9.940257771348374e-06, 'epoch': 0.08}
{'loss': 1.3611, 'grad_norm': 2.9180361818683274, 'learning_rate': 9.938863194279163e-06, 'epoch': 0.08}
{'loss': 1.3239, 'grad_norm': 2.74971751134987, 'learning_rate': 9.93745262758983e-06, 'epoch': 0.08}
{'loss': 1.3402, 'grad_norm': 3.2412482009791286, 'learning_rate': 9.936026075847102e-06, 'epoch': 0.08}
{'loss': 1.3765, 'grad_norm': 2.7257885657191316, 'learning_rate': 9.934583543669454e-06, 'epoch': 0.08}
{'loss': 1.4515, 'grad_norm': 2.77079653665107, 'learning_rate': 9.9331250357271e-06, 'epoch': 0.08}
{'loss': 1.4137, 'grad_norm': 2.9480600631625147, 'learning_rate': 9.931650556741975e-06, 'epoch': 0.08}
{'loss': 1.3631, 'grad_norm': 2.797758370900076, 'learning_rate': 9.930160111487717e-06, 'epoch': 0.08}
{'loss': 1.4011, 'grad_norm': 2.930809573395078, 'learning_rate': 9.92865370478966e-06, 'epoch': 0.08}
{'loss': 1.3301, 'grad_norm': 2.8348347440740604, 'learning_rate': 9.92713134152481e-06, 'epoch': 0.08}
{'loss': 1.2647, 'grad_norm': 2.8393401019419424, 'learning_rate': 9.925593026621833e-06, 'epoch': 0.08}
{'loss': 1.3362, 'grad_norm': 2.6875539323121473, 'learning_rate': 9.924038765061042e-06, 'epoch': 0.08}
{'loss': 1.3983, 'grad_norm': 3.11611652050489, 'learning_rate': 9.922468561874372e-06, 'epoch': 0.09}
{'loss': 1.3435, 'grad_norm': 2.8860759427955176, 'learning_rate': 9.920882422145372e-06, 'epoch': 0.09}
{'loss': 1.3177, 'grad_norm': 2.6790799748584675, 'learning_rate': 9.919280351009187e-06, 'epoch': 0.09}
{'loss': 1.3631, 'grad_norm': 2.915859021793209, 'learning_rate': 9.917662353652538e-06, 'epoch': 0.09}
{'loss': 1.383, 'grad_norm': 2.8373776591554827, 'learning_rate': 9.91602843531371e-06, 'epoch': 0.09}
{'loss': 1.376, 'grad_norm': 3.302808929228332, 'learning_rate': 9.914378601282525e-06, 'epoch': 0.09}
{'loss': 1.2866, 'grad_norm': 3.1473161532959626, 'learning_rate': 9.912712856900344e-06, 'epoch': 0.09}
{'loss': 1.2859, 'grad_norm': 2.724758511199846, 'learning_rate': 9.911031207560027e-06, 'epoch': 0.09}
{'loss': 1.3941, 'grad_norm': 3.1280074856070166, 'learning_rate': 9.909333658705933e-06, 'epoch': 0.09}
{'loss': 1.4011, 'grad_norm': 3.2335439205586187, 'learning_rate': 9.907620215833893e-06, 'epoch': 0.09}
{'loss': 1.3578, 'grad_norm': 2.607854450994844, 'learning_rate': 9.905890884491196e-06, 'epoch': 0.09}
{'loss': 1.2955, 'grad_norm': 3.0608316807224654, 'learning_rate': 9.90414567027657e-06, 'epoch': 0.09}
{'loss': 1.4118, 'grad_norm': 3.0167652109615988, 'learning_rate': 9.902384578840164e-06, 'epoch': 0.09}
{'loss': 1.3502, 'grad_norm': 3.044509393063534, 'learning_rate': 9.900607615883528e-06, 'epoch': 0.09}
{'loss': 1.2998, 'grad_norm': 2.9511511339956127, 'learning_rate': 9.898814787159601e-06, 'epoch': 0.09}
{'loss': 1.343, 'grad_norm': 2.96887261230906, 'learning_rate': 9.897006098472681e-06, 'epoch': 0.09}
{'loss': 1.376, 'grad_norm': 2.721461946392294, 'learning_rate': 9.895181555678419e-06, 'epoch': 0.09}
{'loss': 1.3596, 'grad_norm': 2.912432202586765, 'learning_rate': 9.893341164683789e-06, 'epoch': 0.09}
{'loss': 1.4014, 'grad_norm': 3.1672298300263115, 'learning_rate': 9.891484931447075e-06, 'epoch': 0.1}
{'loss': 1.3327, 'grad_norm': 2.7165114357601734, 'learning_rate': 9.889612861977855e-06, 'epoch': 0.1}
{'loss': 1.385, 'grad_norm': 2.792310743396791, 'learning_rate': 9.887724962336968e-06, 'epoch': 0.1}
{'loss': 1.2786, 'grad_norm': 3.072277970709865, 'learning_rate': 9.88582123863651e-06, 'epoch': 0.1}
{'loss': 1.3836, 'grad_norm': 2.821387292592878, 'learning_rate': 9.883901697039809e-06, 'epoch': 0.1}
{'loss': 1.277, 'grad_norm': 2.6373013372058196, 'learning_rate': 9.881966343761398e-06, 'epoch': 0.1}
{'loss': 1.3539, 'grad_norm': 3.079310986059556, 'learning_rate': 9.880015185067002e-06, 'epoch': 0.1}
{'loss': 1.4371, 'grad_norm': 3.145614520173643, 'learning_rate': 9.87804822727352e-06, 'epoch': 0.1}
{'loss': 1.2299, 'grad_norm': 2.92147737771078, 'learning_rate': 9.876065476748996e-06, 'epoch': 0.1}
{'loss': 1.3408, 'grad_norm': 2.953515011653291, 'learning_rate': 9.874066939912605e-06, 'epoch': 0.1}
{'loss': 1.2246, 'grad_norm': 2.989276050291497, 'learning_rate': 9.872052623234632e-06, 'epoch': 0.1}
{'loss': 1.3807, 'grad_norm': 2.829154906710014, 'learning_rate': 9.870022533236445e-06, 'epoch': 0.1}
{'loss': 1.3572, 'grad_norm': 2.9408549250245195, 'learning_rate': 9.867976676490485e-06, 'epoch': 0.1}
{'loss': 1.3374, 'grad_norm': 2.8783006688796964, 'learning_rate': 9.865915059620233e-06, 'epoch': 0.1}
{'loss': 1.2858, 'grad_norm': 2.823398889855738, 'learning_rate': 9.863837689300191e-06, 'epoch': 0.1}
{'loss': 1.3008, 'grad_norm': 2.981045138500586, 'learning_rate': 9.861744572255872e-06, 'epoch': 0.1}
{'loss': 1.3556, 'grad_norm': 2.6980690839059007, 'learning_rate': 9.85963571526376e-06, 'epoch': 0.1}
{'loss': 1.367, 'grad_norm': 3.1364977713814284, 'learning_rate': 9.857511125151305e-06, 'epoch': 0.1}
{'loss': 1.326, 'grad_norm': 3.0507545304202037, 'learning_rate': 9.855370808796884e-06, 'epoch': 0.11}
{'loss': 1.3511, 'grad_norm': 2.894971431027694, 'learning_rate': 9.853214773129796e-06, 'epoch': 0.11}
{'loss': 1.2923, 'grad_norm': 2.9059154005951586, 'learning_rate': 9.85104302513023e-06, 'epoch': 0.11}
{'loss': 1.3059, 'grad_norm': 3.1446588889838907, 'learning_rate': 9.84885557182924e-06, 'epoch': 0.11}
{'loss': 1.3647, 'grad_norm': 2.929292700480081, 'learning_rate': 9.846652420308728e-06, 'epoch': 0.11}
{'loss': 1.2694, 'grad_norm': 2.8889303024717394, 'learning_rate': 9.844433577701422e-06, 'epoch': 0.11}
{'loss': 1.359, 'grad_norm': 2.9382767268413654, 'learning_rate': 9.842199051190847e-06, 'epoch': 0.11}
{'loss': 1.3009, 'grad_norm': 2.9542943764249494, 'learning_rate': 9.839948848011304e-06, 'epoch': 0.11}
{'loss': 1.3509, 'grad_norm': 2.9915718610390494, 'learning_rate': 9.837682975447851e-06, 'epoch': 0.11}
{'loss': 1.3491, 'grad_norm': 2.936572307771516, 'learning_rate': 9.835401440836271e-06, 'epoch': 0.11}
{'loss': 1.2627, 'grad_norm': 3.039839222425699, 'learning_rate': 9.833104251563058e-06, 'epoch': 0.11}
{'loss': 1.3487, 'grad_norm': 2.814776280501966, 'learning_rate': 9.830791415065383e-06, 'epoch': 0.11}
